,model_name,time_period,threshold,accuracy,precision,recall,f1,auc_roc
0,bagging,period_1,0.01,0.3266115500777937,0.27027482150074095,0.9518443838216107,0.4210056921018807,0.5309780486546858
0,bagging,period_1,0.02,0.3266115500777937,0.27027482150074095,0.9518443838216107,0.4210056921018807,0.5309780486546858
0,bagging,period_1,0.05,0.3269471307849538,0.2703595134606961,0.9517257739295457,0.4210968249803202,0.5311651705198903
0,bagging,period_1,0.1,0.4255773513530004,0.29058245387899784,0.8556517613568971,0.43383347866614547,0.566153464052853
0,bagging,period_1,0.2,0.5226211903962903,0.31434892215876936,0.7247064405171392,0.43849576575283483,0.5886757108122085
0,bagging,period_1,0.3,0.6027334573965039,0.33732549075189566,0.5645830862293916,0.42232277526395173,0.5902634504582147
0,bagging,period_1,0.5,0.7003569358430702,0.3751570633638485,0.24789467441584628,0.2985287816026282,0.5524630263815719
0,bagging,period_2,0.01,0.3910036208337202,0.3337532147168425,0.9373525943396226,0.49223981112358245,0.5386044717192082
0,bagging,period_2,0.02,0.3910036208337202,0.3337532147168425,0.9373525943396226,0.49223981112358245,0.5386044717192082
0,bagging,period_2,0.05,0.3914678302850246,0.3339110340843443,0.9372051886792453,0.4923910939012585,0.5389034481138467
0,bagging,period_2,0.1,0.4787392071302572,0.3572667137627641,0.8200176886792453,0.49769626481771423,0.570938509605919
0,bagging,period_2,0.2,0.5559836598273141,0.38302347101876,0.6711379716981132,0.4877082105939693,0.5870935826778951
0,bagging,period_2,0.3,0.6201374059975862,0.41603649021726086,0.5109080188679245,0.45861726761495203,0.5906281522717451
0,bagging,period_2,0.5,0.6789991644229877,0.4783757015516672,0.21359080188679244,0.29532253133598285,0.5532651122863966
0,bagging,period_3,0.01,0.365765193933761,0.3041678307469586,0.953730986700645,0.4612362796071635,0.5427642130866642
0,bagging,period_3,0.02,0.36578786298823474,0.30417555623285586,0.953730986700645,0.4612451616630399,0.5427800579339199
0,bagging,period_3,0.05,0.3660598916419196,0.3042483992275638,0.9535717129887712,0.46131026910407796,0.5429222489395624
0,bagging,period_3,0.1,0.45492258517897216,0.3267896990531331,0.8630246077884846,0.47406986154552816,0.5777760889113548
0,bagging,period_3,0.2,0.542379797338653,0.35275955229641065,0.7278808632635183,0.4752125198221852,0.598222343154132
0,bagging,period_3,0.3,0.6133566068959264,0.37996905181153623,0.5670940511268615,0.45504505080196817,0.5994299004525168
0,bagging,period_3,0.5,0.6915875138847959,0.4271615234917987,0.24472405829417854,0.31117411776618903,0.5570654136064631
